,Feature,Importance
noise_per_ms,noise_per_ms,0.743188133946146
eph,eph,0.7586334438138623
timestamp,timestamp,0.17342571422086267
s_variance_m_s,s_variance_m_s,0.8343060562522715
epv,epv,0.6911551201393622
lat_x,lat_x,0.5817516255087007
epv_x,epv_x,0.1146957899806509
evh,evh,0.8417546632192952
alt_ellipsoid_x,alt_ellipsoid_x,0.4632115191132609
alt_ellipsoid_y,alt_ellipsoid_y,0.4290697541563976
vel_m_s,vel_m_s,0.6785748160132459
satellites_used,satellites_used,0.45537209863405365
hdop,hdop,0.45220585479097897
vdop,vdop,0.23430251479758774
y,y,0.18623061516424053
vel_d_m_s,vel_d_m_s,0.2764110906397332
delta_heading,delta_heading,0.12921191797280426
c_variance_rad,c_variance_rad,0.12136362977925799
vel_n_m_s,vel_n_m_s,0.3374205193784851
z,z,0.35146312408924496
heading_y,heading_y,0.20974418092290123
vy,vy,0.08379810411463115
vx,vx,0.2805024915168745
vel_e_m_s,vel_e_m_s,0.039948227996575776
q[2],q[2],0.27582543081893807
jamming_indicator,jamming_indicator,0.1196429582731936
cog_rad,cog_rad,0.3285059927158763
z_deriv,z_deriv,0.060071853155293516
vz,vz,0.14228769560610205
ay,ay,0.023378099002936806
az,az,0.04801752399645597
ax,ax,0.04420355953709437
q[1],q[1],0.19846346951129895
terrain_alt_valid,terrain_alt_valid,0.2994607583886424
